text,card_number,date,full_name,amount,merchant
"On 2003-07-22, Tracy Wilkerson paid $80.15 using card number 4570433154100676 at Bell-Bennett.",4570433154100676,2003-07-22,Tracy Wilkerson,80.15,Bell-Bennett
"On 1975-02-08, Stephen Martin paid $245.62 using card number 30327104054110 at Mcmahon, Spence and Morgan.",30327104054110,1975-02-08,Stephen Martin,245.62,"Mcmahon, Spence and Morgan"
"On 1989-02-27, Monica Baker paid $672.29 using card number 3506296201533681 at Young-Williams.",3506296201533681,1989-02-27,Monica Baker,672.29,Young-Williams
"On 1977-11-10, Edgar Miller paid $222.09 using card number 3520506149731037 at Glover-Ruiz.",3520506149731037,1977-11-10,Edgar Miller,222.09,Glover-Ruiz
"On 2021-03-10, Derrick Brown paid $140.99 using card number 4186256527047746 at Contreras, Miller and Cooper.",4186256527047746,2021-03-10,Derrick Brown,140.99,"Contreras, Miller and Cooper"
"On 2018-08-11, Karen Miller paid $936.16 using card number 180093806868797 at Shaw PLC.",180093806868797,2018-08-11,Karen Miller,936.16,Shaw PLC
"On 2024-12-09, Deanna Bartlett paid $575.33 using card number 3517223320616327 at Miller PLC.",3517223320616327,2024-12-09,Deanna Bartlett,575.33,Miller PLC
"On 1977-03-10, Olivia Ayers paid $477.94 using card number 6548709986162297 at Chan, Floyd and Dillon.",6548709986162297,1977-03-10,Olivia Ayers,477.94,"Chan, Floyd and Dillon"
"On 1992-07-23, Melissa Williams paid $786.77 using card number 374679970246293 at Young, Reese and Mccall.",374679970246293,1992-07-23,Melissa Williams,786.77,"Young, Reese and Mccall"
"On 2000-01-22, Lisa Davis paid $809.42 using card number 345444713247546 at Mcintyre Group.",345444713247546,2000-01-22,Lisa Davis,809.42,Mcintyre Group
"On 1973-12-03, Shaun Gonzalez paid $198.51 using card number 3585082148628907 at Johnson Inc.",3585082148628907,1973-12-03,Shaun Gonzalez,198.51,Johnson Inc
"On 1993-10-20, Seth Matthews paid $105.96 using card number 344578610357972 at Martin-Kline.",344578610357972,1993-10-20,Seth Matthews,105.96,Martin-Kline
"On 1970-08-10, Richard Saunders paid $436.74 using card number 3540602933334686 at Buck-Holland.",3540602933334686,1970-08-10,Richard Saunders,436.74,Buck-Holland
"On 1976-12-17, Samantha Sanders paid $429.34 using card number 3534944665743744 at Hunt Ltd.",3534944665743744,1976-12-17,Samantha Sanders,429.34,Hunt Ltd
"On 2024-08-07, Cynthia Brown paid $472.35 using card number 374171545444322 at Powell, Flores and Taylor.",374171545444322,2024-08-07,Cynthia Brown,472.35,"Powell, Flores and Taylor"
"On 1993-05-09, Wendy Cabrera paid $731.79 using card number 676374466602 at Reeves, Parks and Little.",676374466602,1993-05-09,Wendy Cabrera,731.79,"Reeves, Parks and Little"
"On 2016-04-03, Kristin Gaines paid $676.63 using card number 30584282417242 at Pena-Walker.",30584282417242,2016-04-03,Kristin Gaines,676.63,Pena-Walker
"On 1983-03-29, Lisa Kennedy paid $984.32 using card number 4655494717090 at Wilson, Becker and Moreno.",4655494717090,1983-03-29,Lisa Kennedy,984.32,"Wilson, Becker and Moreno"
"On 1970-04-28, Mr. Christopher Walters paid $107.43 using card number 6011223569725213 at Hill-Juarez.",6011223569725213,1970-04-28,Mr. Christopher Walters,107.43,Hill-Juarez
"On 2021-07-03, Tiffany Mcclain paid $408.6 using card number 4712966667600830 at Lee, Rhodes and Sims.",4712966667600830,2021-07-03,Tiffany Mcclain,408.6,"Lee, Rhodes and Sims"
"On 2010-08-01, Earl Luna paid $345.91 using card number 4542168942107 at Morgan, Barron and Cowan.",4542168942107,2010-08-01,Earl Luna,345.91,"Morgan, Barron and Cowan"
"On 1972-07-17, Jacob Santos paid $863.06 using card number 375326033230984 at Mcdowell-Scott.",375326033230984,1972-07-17,Jacob Santos,863.06,Mcdowell-Scott
"On 2017-04-23, Kara Hernandez paid $256.17 using card number 213190100167610 at Mccoy, Turner and Stanley.",213190100167610,2017-04-23,Kara Hernandez,256.17,"Mccoy, Turner and Stanley"
"On 1983-09-22, Dennis Mills paid $198.31 using card number 4992618914117396 at Warner-Phillips.",4992618914117396,1983-09-22,Dennis Mills,198.31,Warner-Phillips
"On 2015-07-12, Susan Conley paid $454.13 using card number 676173753002 at Hernandez-Davis.",676173753002,2015-07-12,Susan Conley,454.13,Hernandez-Davis
"On 2016-01-21, Sarah Ward paid $427.66 using card number 213114374470120 at Simmons-Wilson.",213114374470120,2016-01-21,Sarah Ward,427.66,Simmons-Wilson
"On 1982-06-12, Anna Briggs paid $285.76 using card number 501822557945 at Morales Group.",501822557945,1982-06-12,Anna Briggs,285.76,Morales Group
"On 2019-06-29, Shari Hobbs paid $257.31 using card number 4762120216979729652 at Webb Group.",4762120216979729652,2019-06-29,Shari Hobbs,257.31,Webb Group
"On 2019-06-14, Lisa Reynolds paid $924.03 using card number 2370145089935887 at Olson Ltd.",2370145089935887,2019-06-14,Lisa Reynolds,924.03,Olson Ltd
"On 2007-06-18, Donald Hunter paid $448.7 using card number 4289002877217539 at Gray, Montoya and Miller.",4289002877217539,2007-06-18,Donald Hunter,448.7,"Gray, Montoya and Miller"
"On 2011-02-12, April Davis paid $862.74 using card number 38177517016608 at Walsh, Wu and Hart.",38177517016608,2011-02-12,April Davis,862.74,"Walsh, Wu and Hart"
"On 2013-02-13, Courtney Peterson paid $554.82 using card number 4550375899757118 at Kelley-Brooks.",4550375899757118,2013-02-13,Courtney Peterson,554.82,Kelley-Brooks
"On 2021-07-11, Cheryl Morgan paid $60.08 using card number 5227261493316370 at Williams-Schultz.",5227261493316370,2021-07-11,Cheryl Morgan,60.08,Williams-Schultz
"On 1981-10-26, Susan Holt paid $999.29 using card number 4779827080869784 at Ochoa, Garcia and Sandoval.",4779827080869784,1981-10-26,Susan Holt,999.29,"Ochoa, Garcia and Sandoval"
"On 2017-09-26, Stacey Hunt paid $837.67 using card number 3586693465472262 at Valencia, Joseph and Walls.",3586693465472262,2017-09-26,Stacey Hunt,837.67,"Valencia, Joseph and Walls"
"On 2015-11-19, Terri Mckinney paid $969.31 using card number 4339452288515874 at English, Ferguson and Rich.",4339452288515874,2015-11-19,Terri Mckinney,969.31,"English, Ferguson and Rich"
"On 2023-05-18, Brianna Brown paid $927.1 using card number 6011810620034245 at Harris-Weaver.",6011810620034245,2023-05-18,Brianna Brown,927.1,Harris-Weaver
"On 2007-07-29, Richard Jennings paid $850.21 using card number 371983863840664 at Smith LLC.",371983863840664,2007-07-29,Richard Jennings,850.21,Smith LLC
"On 1995-09-02, Christopher Palmer paid $174.65 using card number 4359893347217 at Patterson PLC.",4359893347217,1995-09-02,Christopher Palmer,174.65,Patterson PLC
"On 1984-12-20, Richard Stewart paid $490.78 using card number 4294057202590947981 at Meyer PLC.",4294057202590947981,1984-12-20,Richard Stewart,490.78,Meyer PLC
"On 2014-03-09, Justin Goodwin paid $221.61 using card number 4886153355543982 at Wilson LLC.",4886153355543982,2014-03-09,Justin Goodwin,221.61,Wilson LLC
"On 2022-06-07, Allison Black paid $407.03 using card number 30399305616484 at Robertson-Hicks.",30399305616484,2022-06-07,Allison Black,407.03,Robertson-Hicks
"On 1984-07-04, Christine Soto paid $68.05 using card number 30043581128802 at Coleman, Garcia and Medina.",30043581128802,1984-07-04,Christine Soto,68.05,"Coleman, Garcia and Medina"
"On 1996-05-28, Crystal Green paid $385.18 using card number 3512075011024814 at Mccoy-Hamilton.",3512075011024814,1996-05-28,Crystal Green,385.18,Mccoy-Hamilton
"On 1977-03-23, Angel Reilly paid $985.46 using card number 630418091900 at Buchanan-Turner.",630418091900,1977-03-23,Angel Reilly,985.46,Buchanan-Turner
"On 2024-02-07, Brianna Byrd paid $272.55 using card number 2267660728326849 at Wong, Bernard and Smith.",2267660728326849,2024-02-07,Brianna Byrd,272.55,"Wong, Bernard and Smith"
"On 1984-05-29, Patrick Swanson paid $786.23 using card number 213110099688145 at Whitehead-York.",213110099688145,1984-05-29,Patrick Swanson,786.23,Whitehead-York
"On 2009-07-05, Danielle Gonzalez paid $460.46 using card number 4239431290878141 at Lynn-Howard.",4239431290878141,2009-07-05,Danielle Gonzalez,460.46,Lynn-Howard
"On 1981-06-23, Rhonda Benjamin paid $428.78 using card number 4149135775949298 at Edwards and Sons.",4149135775949298,1981-06-23,Rhonda Benjamin,428.78,Edwards and Sons
"On 1979-07-12, Angela Ramirez paid $957.74 using card number 3545257775478128 at Gonzalez, Gross and Sims.",3545257775478128,1979-07-12,Angela Ramirez,957.74,"Gonzalez, Gross and Sims"
"On 1985-03-13, Reginald Diaz paid $995.47 using card number 3508099693084884 at Quinn, Carter and Marshall.",3508099693084884,1985-03-13,Reginald Diaz,995.47,"Quinn, Carter and Marshall"
"On 1979-12-13, Keith Knight paid $560.21 using card number 213165803928278 at Dennis, Crosby and Williams.",213165803928278,1979-12-13,Keith Knight,560.21,"Dennis, Crosby and Williams"
"On 2014-02-18, Sierra Williams paid $721.22 using card number 30314530385672 at Garcia-Schmitt.",30314530385672,2014-02-18,Sierra Williams,721.22,Garcia-Schmitt
"On 2003-02-18, Heather Parrish paid $163.25 using card number 4498926659184631 at Eaton-Smith.",4498926659184631,2003-02-18,Heather Parrish,163.25,Eaton-Smith
"On 2002-08-02, Michelle Olson paid $303.74 using card number 4231843222591360 at Clark-Martin.",4231843222591360,2002-08-02,Michelle Olson,303.74,Clark-Martin
"On 1997-08-04, David White paid $969.02 using card number 6011302992280929 at Costa, Walsh and Johns.",6011302992280929,1997-08-04,David White,969.02,"Costa, Walsh and Johns"
"On 2016-08-27, Kayla Jackson paid $583.39 using card number 3513797723692922 at Nielsen-Carlson.",3513797723692922,2016-08-27,Kayla Jackson,583.39,Nielsen-Carlson
"On 2023-05-06, Steven Greene paid $546.77 using card number 2246621038862911 at Gordon, Wilson and Olson.",2246621038862911,2023-05-06,Steven Greene,546.77,"Gordon, Wilson and Olson"
"On 1975-09-15, David Cannon paid $750.5 using card number 4686508637659918 at George-Stephens.",4686508637659918,1975-09-15,David Cannon,750.5,George-Stephens
"On 2011-08-22, Joshua Cunningham paid $66.59 using card number 4009818063565126940 at Braun-Sanders.",4009818063565126940,2011-08-22,Joshua Cunningham,66.59,Braun-Sanders
"On 2014-11-12, Michael Fitzgerald paid $588.34 using card number 4887258874490 at Adkins Group.",4887258874490,2014-11-12,Michael Fitzgerald,588.34,Adkins Group
"On 1987-11-27, Kyle Davis paid $507.82 using card number 3513865890260128 at Wood PLC.",3513865890260128,1987-11-27,Kyle Davis,507.82,Wood PLC
"On 1999-11-15, Samantha Bowman paid $854.19 using card number 060466984907 at Harris Ltd.",060466984907,1999-11-15,Samantha Bowman,854.19,Harris Ltd
"On 1988-10-11, Aaron Moore paid $165.86 using card number 180030988392055 at Gomez-Foster.",180030988392055,1988-10-11,Aaron Moore,165.86,Gomez-Foster
"On 1970-04-26, Jordan Powell paid $961.17 using card number 3580118489554396 at Thompson-Hunter.",3580118489554396,1970-04-26,Jordan Powell,961.17,Thompson-Hunter
"On 2021-07-19, Kristine Carrillo paid $89.31 using card number 213184518489476 at Ali-Ellis.",213184518489476,2021-07-19,Kristine Carrillo,89.31,Ali-Ellis
"On 1986-11-23, Alexandra Collier paid $193.97 using card number 30071416335656 at Davis-Nunez.",30071416335656,1986-11-23,Alexandra Collier,193.97,Davis-Nunez
"On 1985-08-06, David Baker paid $599.08 using card number 348275539423730 at Conley PLC.",348275539423730,1985-08-06,David Baker,599.08,Conley PLC
"On 2003-05-27, William Prince PhD paid $678.46 using card number 341117908075955 at Joyce PLC.",341117908075955,2003-05-27,William Prince PhD,678.46,Joyce PLC
"On 1995-10-27, Adam Craig paid $242.85 using card number 4392086780856271870 at Garcia, Ward and Hensley.",4392086780856271870,1995-10-27,Adam Craig,242.85,"Garcia, Ward and Hensley"
"On 2009-03-10, Christopher Anderson paid $128.69 using card number 4347955276365565 at Perez, Garcia and Nelson.",4347955276365565,2009-03-10,Christopher Anderson,128.69,"Perez, Garcia and Nelson"
"On 1987-01-29, Emily Tucker paid $891.38 using card number 4632270267285 at Garrison, Williams and Garcia.",4632270267285,1987-01-29,Emily Tucker,891.38,"Garrison, Williams and Garcia"
"On 2011-03-18, Gregory Frazier paid $253.75 using card number 4347175455884506 at Ray Ltd.",4347175455884506,2011-03-18,Gregory Frazier,253.75,Ray Ltd
"On 1974-11-09, Logan Sullivan paid $598.57 using card number 4455877169472258 at Martin and Sons.",4455877169472258,1974-11-09,Logan Sullivan,598.57,Martin and Sons
"On 2015-01-19, Alexander Luna paid $623.19 using card number 374496475987622 at Shepard-Haynes.",374496475987622,2015-01-19,Alexander Luna,623.19,Shepard-Haynes
"On 1996-07-12, Luke Miller paid $425.03 using card number 2232611178006813 at Perez-Rojas.",2232611178006813,1996-07-12,Luke Miller,425.03,Perez-Rojas
"On 2017-06-22, Kimberly Taylor paid $587.84 using card number 30228200557784 at Thompson, Harper and Welch.",30228200557784,2017-06-22,Kimberly Taylor,587.84,"Thompson, Harper and Welch"
"On 1979-04-11, Aaron Ochoa paid $527.55 using card number 4884578317456422 at Mitchell-Nichols.",4884578317456422,1979-04-11,Aaron Ochoa,527.55,Mitchell-Nichols
"On 2013-12-17, David Espinoza paid $935.36 using card number 3574064930853680 at Clayton-Walker.",3574064930853680,2013-12-17,David Espinoza,935.36,Clayton-Walker
"On 2017-09-01, Jesse Chavez paid $212.22 using card number 2338944846312245 at Vasquez, Flores and Hernandez.",2338944846312245,2017-09-01,Jesse Chavez,212.22,"Vasquez, Flores and Hernandez"
"On 2023-06-21, Daniel Fisher paid $719.03 using card number 213121442703127 at Bolton-Ford.",213121442703127,2023-06-21,Daniel Fisher,719.03,Bolton-Ford
"On 1970-11-10, Ryan Roth paid $246.3 using card number 581204618721 at Villegas Ltd.",581204618721,1970-11-10,Ryan Roth,246.3,Villegas Ltd
"On 2020-09-05, Caitlin Chandler paid $401.83 using card number 4730371837640 at Meyer, King and Little.",4730371837640,2020-09-05,Caitlin Chandler,401.83,"Meyer, King and Little"
"On 2009-07-17, David Novak paid $674.97 using card number 4031365024919 at Alvarez, Carlson and Watson.",4031365024919,2009-07-17,David Novak,674.97,"Alvarez, Carlson and Watson"
"On 1993-08-20, Eugene Grant DDS paid $307.0 using card number 2242719500528129 at Quinn-Smith.",2242719500528129,1993-08-20,Eugene Grant DDS,307.0,Quinn-Smith
"On 2010-09-28, Nicholas Hill paid $323.02 using card number 6524077848739282 at Martin, Schmidt and Cole.",6524077848739282,2010-09-28,Nicholas Hill,323.02,"Martin, Schmidt and Cole"
"On 1997-11-20, Brittany Campbell paid $754.35 using card number 4708620959351863874 at Morris, Davis and Hopkins.",4708620959351863874,1997-11-20,Brittany Campbell,754.35,"Morris, Davis and Hopkins"
"On 2003-05-04, Martin Price paid $81.82 using card number 503820317314 at Hanson, Garza and Williams.",503820317314,2003-05-04,Martin Price,81.82,"Hanson, Garza and Williams"
"On 1974-10-16, Deborah Williams paid $463.7 using card number 4037170586505 at Miller-Lewis.",4037170586505,1974-10-16,Deborah Williams,463.7,Miller-Lewis
"On 2022-02-23, Kristin Reese paid $998.47 using card number 213113863383927 at Ray, Craig and Park.",213113863383927,2022-02-23,Kristin Reese,998.47,"Ray, Craig and Park"
"On 1995-04-19, Krista Shea paid $996.14 using card number 6011228685289754 at Duran-Jordan.",6011228685289754,1995-04-19,Krista Shea,996.14,Duran-Jordan
"On 2005-03-23, Victoria Larson paid $82.53 using card number 3593983684577608 at Holder LLC.",3593983684577608,2005-03-23,Victoria Larson,82.53,Holder LLC
"On 1994-03-15, Brittney Johnson paid $221.02 using card number 573350488892 at Taylor LLC.",573350488892,1994-03-15,Brittney Johnson,221.02,Taylor LLC
"On 1976-06-28, Melissa Johnston paid $272.55 using card number 3534419693157274 at May, Johnson and Stokes.",3534419693157274,1976-06-28,Melissa Johnston,272.55,"May, Johnson and Stokes"
"On 1980-03-06, Andrew Fernandez paid $933.93 using card number 6011055661390607 at Shaw-Walker.",6011055661390607,1980-03-06,Andrew Fernandez,933.93,Shaw-Walker
"On 1992-11-16, Richard Hernandez paid $882.06 using card number 676367998132 at Alvarez Ltd.",676367998132,1992-11-16,Richard Hernandez,882.06,Alvarez Ltd
"On 1996-11-25, Karen Gonzalez paid $880.48 using card number 676164168624 at Duncan, Hoffman and Shea.",676164168624,1996-11-25,Karen Gonzalez,880.48,"Duncan, Hoffman and Shea"
"On 2014-08-08, Connor Cooper paid $375.83 using card number 213131465911663 at Carrillo and Sons.",213131465911663,2014-08-08,Connor Cooper,375.83,Carrillo and Sons
"On 1989-07-30, Tammy Melton paid $166.17 using card number 379270335211035 at Cooper Inc.",379270335211035,1989-07-30,Tammy Melton,166.17,Cooper Inc
"On 1974-02-03, Kelsey Scott paid $835.41 using card number 4705383388487920692 at Gonzalez-Horton.",4705383388487920692,1974-02-03,Kelsey Scott,835.41,Gonzalez-Horton
"On 2001-03-02, Charlotte Mason paid $706.5 using card number 4701645104636815797 at House, Smith and Wright.",4701645104636815797,2001-03-02,Charlotte Mason,706.5,"House, Smith and Wright"
"On 1987-07-15, Veronica Hill MD paid $615.56 using card number 180057620555435 at Zamora-Briggs.",180057620555435,1987-07-15,Veronica Hill MD,615.56,Zamora-Briggs
"On 2012-07-26, Kelly Gregory paid $987.36 using card number 676143256219 at Perez, Allen and Hernandez.",676143256219,2012-07-26,Kelly Gregory,987.36,"Perez, Allen and Hernandez"
"On 1982-07-13, Joseph Ball paid $657.44 using card number 4782329832482629259 at Franco-Thomas.",4782329832482629259,1982-07-13,Joseph Ball,657.44,Franco-Thomas
"On 2021-11-19, Ashley Lopez paid $17.74 using card number 639056647428 at Jensen, Obrien and Salazar.",639056647428,2021-11-19,Ashley Lopez,17.74,"Jensen, Obrien and Salazar"
"On 1997-10-21, Christopher Perez paid $818.93 using card number 3530517289752673 at Schaefer Group.",3530517289752673,1997-10-21,Christopher Perez,818.93,Schaefer Group
"On 2019-01-04, Lisa Holloway paid $306.38 using card number 4312797573669 at Long-Crosby.",4312797573669,2019-01-04,Lisa Holloway,306.38,Long-Crosby
"On 1999-11-30, Tonya Lee paid $666.75 using card number 3581770388608688 at Wilkerson-Ayala.",3581770388608688,1999-11-30,Tonya Lee,666.75,Wilkerson-Ayala
"On 2010-03-04, Jerry White paid $939.54 using card number 4264908277181298261 at Huang, Khan and Davis.",4264908277181298261,2010-03-04,Jerry White,939.54,"Huang, Khan and Davis"
"On 1992-10-23, Amanda Jackson paid $142.95 using card number 341117518689260 at Savage, Huffman and Martin.",341117518689260,1992-10-23,Amanda Jackson,142.95,"Savage, Huffman and Martin"
"On 1970-05-23, Scott Stephens paid $124.27 using card number 4064474212309407 at Andrade, Young and Chapman.",4064474212309407,1970-05-23,Scott Stephens,124.27,"Andrade, Young and Chapman"
"On 1973-09-30, Christine Lopez paid $115.97 using card number 38671990384988 at Bailey, Thomas and Johnson.",38671990384988,1973-09-30,Christine Lopez,115.97,"Bailey, Thomas and Johnson"
"On 1972-06-09, Nicole Ward paid $557.69 using card number 3551016224999824 at Mack LLC.",3551016224999824,1972-06-09,Nicole Ward,557.69,Mack LLC
"On 1977-06-09, Melissa Salazar paid $279.62 using card number 371681472145869 at Blair, Fuller and Benitez.",371681472145869,1977-06-09,Melissa Salazar,279.62,"Blair, Fuller and Benitez"
"On 2003-07-08, Kelly Welch paid $608.78 using card number 30469548995290 at Stephenson and Sons.",30469548995290,2003-07-08,Kelly Welch,608.78,Stephenson and Sons
"On 1983-09-10, Marcia Smith paid $720.44 using card number 3530107139660555 at Campbell, Tyler and Parker.",3530107139660555,1983-09-10,Marcia Smith,720.44,"Campbell, Tyler and Parker"
"On 2002-04-16, George Chambers paid $211.56 using card number 180001556990232 at Brewer Group.",180001556990232,2002-04-16,George Chambers,211.56,Brewer Group
"On 1994-01-23, Rebecca Barron paid $637.9 using card number 4857608495880391 at Montes LLC.",4857608495880391,1994-01-23,Rebecca Barron,637.9,Montes LLC
"On 1991-05-27, Nicole Thornton paid $271.34 using card number 586829962917 at Johnson, Gutierrez and Crawford.",586829962917,1991-05-27,Nicole Thornton,271.34,"Johnson, Gutierrez and Crawford"
"On 2004-01-11, Alexander Webb paid $493.65 using card number 4743842150311 at Lee Group.",4743842150311,2004-01-11,Alexander Webb,493.65,Lee Group
"On 1975-12-05, Melissa Wheeler paid $906.28 using card number 3552182307681041 at Owens-Williams.",3552182307681041,1975-12-05,Melissa Wheeler,906.28,Owens-Williams
"On 1980-02-29, Jeremy Wilson paid $847.64 using card number 180009435334480 at Hill Inc.",180009435334480,1980-02-29,Jeremy Wilson,847.64,Hill Inc
"On 1978-11-08, Gina Wallace paid $101.38 using card number 3538585424932148 at Ruiz Ltd.",3538585424932148,1978-11-08,Gina Wallace,101.38,Ruiz Ltd
"On 2000-05-04, Lori Vaughn paid $429.34 using card number 502060166290 at Kelly, Cook and Gonzalez.",502060166290,2000-05-04,Lori Vaughn,429.34,"Kelly, Cook and Gonzalez"
"On 2015-04-08, Jack White paid $283.91 using card number 4792171747733296 at Mccormick-Khan.",4792171747733296,2015-04-08,Jack White,283.91,Mccormick-Khan
"On 2018-08-10, Katie Sullivan paid $13.51 using card number 38017157724592 at Nguyen Ltd.",38017157724592,2018-08-10,Katie Sullivan,13.51,Nguyen Ltd
"On 1999-05-05, Daniel Benson paid $773.41 using card number 2268769639382764 at Bradley-Peterson.",2268769639382764,1999-05-05,Daniel Benson,773.41,Bradley-Peterson
"On 2016-08-25, Jared George paid $640.74 using card number 3521971997581729 at Wise, Gray and Snyder.",3521971997581729,2016-08-25,Jared George,640.74,"Wise, Gray and Snyder"
"On 2008-10-22, Michael Stewart paid $269.34 using card number 4132902278469978 at Torres, Harding and Graham.",4132902278469978,2008-10-22,Michael Stewart,269.34,"Torres, Harding and Graham"
"On 1989-03-16, Samantha Howard paid $743.82 using card number 349098624058008 at Young Ltd.",349098624058008,1989-03-16,Samantha Howard,743.82,Young Ltd
"On 1989-08-18, Heather Butler paid $556.16 using card number 3556666832723860 at Martinez, Smith and Wong.",3556666832723860,1989-08-18,Heather Butler,556.16,"Martinez, Smith and Wong"
"On 1998-11-27, Janice Perez paid $433.41 using card number 4621267969278684 at Smith, Jimenez and Simon.",4621267969278684,1998-11-27,Janice Perez,433.41,"Smith, Jimenez and Simon"
"On 2021-01-28, Nicholas Terrell paid $19.57 using card number 3568950097519718 at Marshall-Miller.",3568950097519718,2021-01-28,Nicholas Terrell,19.57,Marshall-Miller
"On 1998-08-26, Julie Gross paid $84.49 using card number 3537189490580773 at Yu-Yates.",3537189490580773,1998-08-26,Julie Gross,84.49,Yu-Yates
"On 1987-02-25, Billy Bowers paid $884.28 using card number 4094940792904904715 at Gilbert LLC.",4094940792904904715,1987-02-25,Billy Bowers,884.28,Gilbert LLC
"On 2021-03-23, Samantha Monroe paid $904.89 using card number 4192927524372805127 at Townsend-Young.",4192927524372805127,2021-03-23,Samantha Monroe,904.89,Townsend-Young
"On 2006-03-28, John Vaughan paid $550.13 using card number 30239504102763 at James Ltd.",30239504102763,2006-03-28,John Vaughan,550.13,James Ltd
"On 2014-05-17, Tina Reynolds paid $836.25 using card number 6542860476580187 at Rogers-Adams.",6542860476580187,2014-05-17,Tina Reynolds,836.25,Rogers-Adams
"On 1976-08-25, Sandra Smith paid $586.68 using card number 2259673938525803 at Garcia, Griffin and Robinson.",2259673938525803,1976-08-25,Sandra Smith,586.68,"Garcia, Griffin and Robinson"
"On 2001-10-11, Melissa King paid $156.61 using card number 4300910939111926927 at Mayer, Fowler and Livingston.",4300910939111926927,2001-10-11,Melissa King,156.61,"Mayer, Fowler and Livingston"
"On 1979-10-16, Cassandra Vasquez paid $136.17 using card number 4542140665044271730 at Mack, Robinson and Schneider.",4542140665044271730,1979-10-16,Cassandra Vasquez,136.17,"Mack, Robinson and Schneider"
"On 1996-07-28, April Johnson paid $315.18 using card number 30410119470727 at Hernandez-Rivera.",30410119470727,1996-07-28,April Johnson,315.18,Hernandez-Rivera
"On 1992-09-09, Joseph Frey paid $899.99 using card number 6011877661830674 at Turner, Brown and Shea.",6011877661830674,1992-09-09,Joseph Frey,899.99,"Turner, Brown and Shea"
"On 1975-10-11, Lydia Howard paid $798.16 using card number 4585174328063464 at Kim, Lopez and Johnson.",4585174328063464,1975-10-11,Lydia Howard,798.16,"Kim, Lopez and Johnson"
"On 1993-02-01, Dr. Robert Levy Jr. paid $862.1 using card number 060493761849 at Morgan Ltd.",060493761849,1993-02-01,Dr. Robert Levy Jr.,862.1,Morgan Ltd
"On 2003-04-09, Benjamin Moss paid $899.94 using card number 630413878293 at Smith, Meadows and Montgomery.",630413878293,2003-04-09,Benjamin Moss,899.94,"Smith, Meadows and Montgomery"
"On 1974-04-18, Kurt Gilbert paid $217.98 using card number 4020417929118 at Simmons Ltd.",4020417929118,1974-04-18,Kurt Gilbert,217.98,Simmons Ltd
"On 2007-08-30, Jason Horton paid $257.03 using card number 4519825309251144 at Gonzales PLC.",4519825309251144,2007-08-30,Jason Horton,257.03,Gonzales PLC
"On 2014-05-09, Christopher Davis paid $111.77 using card number 503819620710 at Eaton, Butler and Aguirre.",503819620710,2014-05-09,Christopher Davis,111.77,"Eaton, Butler and Aguirre"
"On 1975-12-28, Michelle Salazar paid $782.32 using card number 30232487632906 at Serrano, Turner and Barnes.",30232487632906,1975-12-28,Michelle Salazar,782.32,"Serrano, Turner and Barnes"
"On 1983-03-08, Mary Hill paid $885.29 using card number 213131819588373 at Hogan Ltd.",213131819588373,1983-03-08,Mary Hill,885.29,Hogan Ltd
"On 2020-05-21, Olivia Williams paid $412.31 using card number 38220054364591 at Buckley and Sons.",38220054364591,2020-05-21,Olivia Williams,412.31,Buckley and Sons
"On 1983-08-10, Brent Rojas paid $624.45 using card number 4781137995635312 at Vance-Jones.",4781137995635312,1983-08-10,Brent Rojas,624.45,Vance-Jones
"On 2017-02-07, Christina Martinez paid $163.01 using card number 3506239726527358 at Brown, Taylor and York.",3506239726527358,2017-02-07,Christina Martinez,163.01,"Brown, Taylor and York"
"On 1984-09-23, Scott Burns paid $930.58 using card number 36253492929834 at Wells, Ford and Smith.",36253492929834,1984-09-23,Scott Burns,930.58,"Wells, Ford and Smith"
"On 1972-04-15, John Mack paid $865.96 using card number 6011356939290607 at Schmidt-Mendoza.",6011356939290607,1972-04-15,John Mack,865.96,Schmidt-Mendoza
"On 2001-04-03, Michael Martin paid $976.44 using card number 3577318063254315 at Burgess, Johnson and Gibson.",3577318063254315,2001-04-03,Michael Martin,976.44,"Burgess, Johnson and Gibson"
"On 2012-03-22, Christine Cohen paid $812.66 using card number 4257016580464988 at Fitzgerald-Brown.",4257016580464988,2012-03-22,Christine Cohen,812.66,Fitzgerald-Brown
"On 2014-03-02, George Fernandez paid $882.6 using card number 4016579055281833 at Mclaughlin-Goodwin.",4016579055281833,2014-03-02,George Fernandez,882.6,Mclaughlin-Goodwin
"On 2006-03-13, Sandra Harrison paid $34.54 using card number 3535548640155772 at Bryan, Lam and Hayes.",3535548640155772,2006-03-13,Sandra Harrison,34.54,"Bryan, Lam and Hayes"
"On 2005-06-07, Kathleen Golden paid $739.2 using card number 343711624112411 at Johnson, Butler and Fleming.",343711624112411,2005-06-07,Kathleen Golden,739.2,"Johnson, Butler and Fleming"
"On 2015-04-24, Rachel Tucker paid $338.86 using card number 4567043103856958 at Moreno, Kelley and Ellis.",4567043103856958,2015-04-24,Rachel Tucker,338.86,"Moreno, Kelley and Ellis"
"On 1982-05-28, Caitlyn Nichols paid $931.51 using card number 3542437540254722 at Franco Ltd.",3542437540254722,1982-05-28,Caitlyn Nichols,931.51,Franco Ltd
"On 2000-07-07, Vanessa Hernandez paid $804.21 using card number 4231059274523801 at Cantrell, Ferguson and Martinez.",4231059274523801,2000-07-07,Vanessa Hernandez,804.21,"Cantrell, Ferguson and Martinez"
